canton_id,canton,commune,prefecture,region,couverture_mobile,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_hab,ecoles_15km_hab,marches_nb,postes_nb,n_agents_mm
B09055158,Kpélé-Dutoé,Kpélé 2,Kpélé,Plateaux,100,59.06,0,691,3455,3113,0,0,5
B09055159,Kpélé-Kamé,Kpélé 2,Kpélé,Plateaux,100,59.4,0,396,8225,7357,3,0,21
B09055160,Kpélé-Gbalédzé,Kpélé 2,Kpélé,Plateaux,100,69.79,0,395,3552,3308,0,0,9
B09055161,Kpélé-Centre,Kpélé 2,Kpélé,Plateaux,99.39,49.01,23.96,560,4642,5874,1,0,12
B09054153,Kpélé-Govié,Kpélé 1,Kpélé,Plateaux,86.26,33.91,39.06,726,10372,8210,1,0,15
B09054154,Kpélé-Novivé,Kpélé 1,Kpélé,Plateaux,89.47,74.93,70.17,197,29516,26403,9,1,150
B09054155,Kpélé-Akata,Kpélé 1,Kpélé,Plateaux,100,60.67,0,517,7757,6709,3,0,15
B09054156,Kpélé-Dawlotou,Kpélé 1,Kpélé,Plateaux,63.58,21.14,0,3036,8376,8863,5,0,4
B10056162,Tohoun,Moyen-Mono 1,Moyen-Mono,Plateaux,100,85.72,91.3,743,17481,19311,1,1,26
B10056163,Tado,Moyen-Mono 1,Moyen-Mono,Plateaux,100,62.39,0,2157,14852,19060,2,0,9
B10056164,Ahassomè,Moyen-Mono 1,Moyen-Mono,Plateaux,100,15.71,0,1241,4817,4784,1,0,4
B10057165,Katomé,Moyen-Mono 2,Moyen-Mono,Plateaux,100,64.42,0,2051,6150,8164,0,0,4
B10057166,Kpékplémé,Moyen-Mono 2,Moyen-Mono,Plateaux,100,89.51,0,751,18225,20268,2,0,27
B10057167,Saligbé,Moyen-Mono 2,Moyen-Mono,Plateaux,100,78.99,0,1398,11332,15344,1,0,11
B11058168,Houdou,Ogou 1,Ogou,Plateaux,100,35.7,1.22,974,12271,12635,2,0,14
B11058169,Djama,Ogou 1,Ogou,Plateaux,100,58.92,0,2225,67455,66430,8,2,31
B11058170,Gnagna,Ogou 1,Ogou,Plateaux,100,57.31,0,182,40672,40652,3,0,226
B11059171,Katoré,Ogou 2,Ogou,Plateaux,59.37,72.96,0,333,6723,6433,4,0,22
B11059172,Datcha,Ogou 2,Ogou,Plateaux,100,65.44,0,2131,15561,15658,2,0,8
B11059173,Akparé,Ogou 2,Ogou,Plateaux,91.04,49.23,0,762,10075,9959,3,0,14
B11060174,Gléi,Ogou 3,Ogou,Plateaux,98.06,46.55,51.44,502,23986,39396,1,1,85
B11061175,Ountivou,Ogou 4,Ogou,Plateaux,86.43,38.18,0,1078,19850,18942,4,0,21
B12063180,Gbadi-N'kougna,Wawa 2,Wawa,Plateaux,100,63.17,0,383,3367,4561,1,0,13
B12063181,Ekéto,Wawa 2,Wawa,Plateaux,100,18.04,0,4058,1640,3518,0,0,1
B12063182,Gobé,Wawa 2,Wawa,Plateaux,100,30.14,0,636,1272,1133,1,0,2
B12062176,Kpété-Béna,Wawa 1,Wawa,Plateaux,100,64.53,0,432,11013,11501,3,0,34
B12062177,Tomégbé,Wawa 1,Wawa,Plateaux,100,62.94,0,376,4295,9828,1,0,28
B12062178,Badou,Wawa 1,Wawa,Plateaux,100,83.12,0,242,20762,20971,2,1,89
B12062179,Késsibo,Wawa 1,Wawa,Plateaux,100,73.48,0,505,8138,10304,1,0,21
B12064183,Klabé-Efoukpa,Wawa 3,Wawa,Plateaux,100,55.81,0,459,9305,10176,1,0,9
B12064184,Ounabé,Wawa 3,Wawa,Plateaux,100,90.44,0,871,242,4168,0,0,5
B12064185,Okou,Wawa 3,Wawa,Plateaux,100,42.39,0,1796,6700,8086,1,0,5
B12064186,Doumé,Wawa 3,Wawa,Plateaux,100,73.4,0,325,4095,4069,2,0,13
C01067198,Tintchro,Blitta 3,Blitta,Centrale,0,0,0,,1725,1633,3,0,0
C01067199,Welly,Blitta 3,Blitta,Centrale,2.42,13.33,0,4708,7688,6782,8,0,2
C01067200,Pagala-Village,Blitta 3,Blitta,Centrale,85.32,0,0,,2239,1916,1,0,0
C01067201,Tchifama,Blitta 3,Blitta,Centrale,4.83,0,0,,2577,2166,1,0,0
C01067204,Yégué,Blitta 3,Blitta,Centrale,0,0,0,,1164,1141,2,0,0
C01067202,Atchintsè,Blitta 3,Blitta,Centrale,0,43.25,0,3666,3090,3043,2,0,1
C01067203,Diguengué,Blitta 3,Blitta,Centrale,0,0,0,,59,727,0,0,0
C01067205,Dikpéléou,Blitta 3,Blitta,Centrale,0,0,0,,998,987,1,0,0
C01067206,Katchenkè,Blitta 3,Blitta,Centrale,0,0,0,,1428,1332,2,0,0
C01067207,M'Poti,Blitta 3,Blitta,Centrale,10.91,40.49,0,1088,2852,2804,2,0,3
C01065187,Pagala-Gare,Blitta 1,Blitta,Centrale,90.88,67.53,0,1058,17680,17346,9,1,17
