canton_id,region,prefecture,commune,canton,couverture_mobile_pct,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_habitants,ecoles_15km_habitants,marches_nb,postes_nb,n_banques,n_mfi,n_poste,n_distributeurs
B03038101,Plateaux,Amou,Amou 2,Kpatégan,100,14.72,0,2009,2680,12350,0,0,0,0,0,0
B03038102,Plateaux,Amou,Amou 2,Ekpégnon,100,11.29,0,6091,5863,5081,3,0,0,0,0,0
B03038103,Plateaux,Amou,Amou 2,Amou-Oblo,100,49.47,0,990,13283,16190,2,1,0,4,1,0
B03038104,Plateaux,Amou,Amou 2,Sodo,100,33.64,0,1476,6827,6236,3,0,0,0,0,0
B03039105,Plateaux,Amou,Amou 3,Gamé,81.78,0,0,,2024,3805,1,0,0,0,0,0
B03039106,Plateaux,Amou,Amou 3,Otadi,100,87,0,300,1593,4282,1,0,0,0,0,0
B03039107,Plateaux,Amou,Amou 3,Hihéatro,100,75.83,0,726,17486,19533,2,1,0,0,1,0
B03039108,Plateaux,Amou,Amou 3,Okpahoé,100,0.4,0,,0,1938,0,0,0,0,0,0
B03039109,Plateaux,Amou,Amou 3,Evou,100,91.16,0,253,7071,6946,3,0,0,0,0,0
B03039110,Plateaux,Amou,Amou 3,Témédja,100,84.2,0,312,9345,8595,1,0,0,1,0,0
B04040112,Plateaux,Anié,Anié 1,Pallakoko,100,51.88,0.34,1146,6742,16671,1,0,0,0,0,0
B04040113,Plateaux,Anié,Anié 1,Anié,100,74.35,74.36,459,88981,91946,10,1,4,5,1,2
B04040114,Plateaux,Anié,Anié 1,Kolo-Kopé,99.89,45.47,0,1625,18033,17036,3,0,0,0,0,0
B04041115,Plateaux,Anié,Anié 2,Adogbénou,0,24.03,0,963,19243,23593,5,0,0,1,0,0
B04041116,Plateaux,Anié,Anié 2,Atchinédji,21.51,31.8,0,1142,9724,7579,5,0,0,0,0,0
B04041117,Plateaux,Anié,Anié 2,Glitto,3.49,15.77,0,2831,13629,19338,2,0,0,0,0,0
B05042118,Plateaux,Danyi,Danyi 1,Danyi-Atigba,100,95.24,0.68,215,15586,15995,3,1,0,2,1,0
B05042120,Plateaux,Danyi,Danyi 1,Danyi-Kakpa,100,81.49,3.52,160,112,3471,0,0,0,0,0,0
B05042119,Plateaux,Danyi,Danyi 1,Yikpa,100,63.41,13.11,961,1151,1910,0,0,0,0,0,0
B05043121,Plateaux,Danyi,Danyi 2,Danyi-Kpeto-Evita,100,41.18,0,501,2371,2902,0,0,0,0,0,0
B05043122,Plateaux,Danyi,Danyi 2,Danyi-Elavagnon,100,69.64,0,232,6003,5915,2,0,0,1,0,0
B05043123,Plateaux,Danyi,Danyi 2,Ahlon,100,81.23,0,447,1494,4405,0,0,0,0,0,0
B06044124,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,88.01,37.6,0,1065,34303,51746,3,1,0,1,1,0
B06044125,Plateaux,Est-Mono,Est-Mono 1,Gbadjahè,90.24,38.73,0,1057,11561,13306,2,0,0,0,0,0
B06045126,Plateaux,Est-Mono,Est-Mono 2,Morétan,74.87,30.59,0,1137,28628,43655,3,0,0,1,0,0
B06045127,Plateaux,Est-Mono,Est-Mono 2,Badin-Copé,25.17,53.36,0,628,14554,15001,6,0,0,0,0,0
B06045128,Plateaux,Est-Mono,Est-Mono 2,Kamina,14.03,49.33,0,769,12374,11687,4,0,0,0,0,0
B06046129,Plateaux,Est-Mono,Est-Mono 3,Kpéssi,100,18.92,0,1786,5854,8231,2,0,0,0,0,0
B06046130,Plateaux,Est-Mono,Est-Mono 3,Nyamassila,100,41.33,0,506,6206,15530,0,0,0,1,0,0
B07047131,Plateaux,Haho,Haho 1,Notsé,100,90.92,91.51,593,63853,65951,2,1,3,10,1,2
B07047132,Plateaux,Haho,Haho 1,Dalia,92.62,32.91,0,1149,29864,26243,6,0,0,0,0,0
B07047133,Plateaux,Haho,Haho 1,Atchavé,100,49.47,0,825,16210,18831,2,0,0,1,0,0
B02048134,Plateaux,Haho,Haho 2,Djemegni,98.58,47.97,2.74,1630,29411,32061,3,0,0,0,0,0
B07048135,Plateaux,Haho,Haho 2,Asrama,37.38,50.77,0,1305,34343,39311,3,1,0,2,1,0
B07049136,Plateaux,Haho,Haho 3,Kpédomé,96.03,65.71,34.51,398,23263,36851,2,0,0,0,0,0
