region,prefecture,commune,canton,nom,lat,lon,type_service
Plateaux,Anié,Anié 2,Adogbénou,Pratfig,7.73808,1.438,microfinance
Plateaux,Anié,Anié 1,Anié,COOPEC AD Anié,7.75759,1.19361,microfinance
Plateaux,Anié,Anié 1,Anié,WAGES Anié,7.75757,1.19323,microfinance
Savanes,Cinkassé,Cinkassé 1,Cinkassé,COOPEC-SIFA de Languitaba,11.10196,0.01055,microfinance
Plateaux,Anié,Anié 1,Anié,FUCEC Togo Anié,7.76344,1.19333,microfinance
Plateaux,Anié,Anié 1,Anié,Assilassime Solidarité,7.76358,1.19659,microfinance
Plateaux,Kloto,Kloto 1,Agome-Kpalime,COOPEC AD Kpalimé,6.9078,0.63223,microfinance
Plateaux,Amou,Amou 2,Amou-Oblo,COOPEC AD Amou Oblo,7.39148,0.86918,microfinance
Plateaux,Amou,Amou 2,Amou-Oblo,CECAV Fidélité Amou Oblo,7.3882,0.86733,microfinance
Plateaux,Amou,Amou 2,Amou-Oblo,MGPCCdekahoho,7.3875,0.86746,microfinance
Plateaux,Amou,Amou 2,Amou-Oblo,COOPEC Enyo Amou Oblo,7.38826,0.86784,microfinance
Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,FECECAV Wetsi,7.12849,0.72889,microfinance
Savanes,Cinkassé,Cinkassé 2,Sam-Naba,Guichet de Sam-naba,11.0671,0.16424,microfinance
Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,COOPEC Enyo Tsèfi,7.13319,0.73166,microfinance
Plateaux,Kpélé,Kpélé 2,Kpélé-Centre,FECECAV Hassoupe,7.17226,0.74751,microfinance
Plateaux,Kpélé,Kpélé 2,Kpélé-Nord,COOPEC Enyo,7.28201,0.80311,microfinance
Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Cooperative Mesona,7.13799,0.73013,microfinance
Plateaux,Kpélé,Kpélé 2,Kpélé-Nord,FECECAV-fidelité,7.27673,0.80065,microfinance
Plateaux,Haho,Haho 1,Notsé,FECECAV Agence Notsé,6.94946,1.16515,microfinance
Plateaux,Haho,Haho 1,Notsé,URCLEC Agence Notsé,6.95109,1.16881,microfinance
Plateaux,Haho,Haho 1,Notsé,SPEC OIC-Togo Tegbe,6.95416,1.17014,microfinance
Plateaux,Haho,Haho 1,Notsé,COOPEC AD Notsé,6.95337,1.17186,microfinance
